_key,alternativeNames,createdAt,gadm,geojson.geometry.type,geojson.geometry.coordinates,geojson.type,geojson.properties,issues,name,social.rating,social.totalComments,touristic,type,updatedAt
"1056",[],"2019-06-27T00:00:00.000Z","Gadm/MEX.31.16_1","Point",[-88.020833,20.666111],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Yokdzonot",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1057",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.16_1","Point",[-87.92,20.817222],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Yokdzonot I",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1058",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.101_1","Point",[-89.7725,20.745],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Chaczinikche",4.732673267326732,101,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1059",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.101_1","Point",[-89.829166,20.728888],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Chan koh",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"106",[],"2017-05-10T06:00:00.000Z","Gadm/MEX.31.69_1","Point",[-89.110108,20.60438],"Feature",{},[],"X",,0,false,"CENOTE","2021-05-16T23:59:17.680Z"
"1060",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.101_1","Point",[-89.760277,20.748611],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Chan Yaax-já",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1061",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.1_1","Point",[-89.731944,20.612222],"Feature",{},["GEOTAG_NOT_VERIFIED"],"X-baba",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1062",[],"2019-06-27T00:00:00.000Z","Gadm/MEX.31.62_1","Point",[-89.606611,20.507194],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Yaal utzil",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1063",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.101_1","Point",[-89.8075,20.691111],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Chen Tomasa",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1064",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.101_1","Point",[-89.779722,20.7275],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Chichmuc",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1065",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.1_1","Point",[-89.798055,20.653611],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Chococh-ha",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
